date,product_id,product_name,price,demand,day_of_week,discount,rating,sentiment_score,competitor_price
2023-04-17,P1,Wireless Earbuds,267.63,28,Monday,20,3.65,0.09,264.38
2023-05-11,P1,Wireless Earbuds,278.82,24,Thursday,20,3.82,0.15,298.77
2023-10-04,P1,Wireless Earbuds,325.03,5,Wednesday,0,4.15,0.39,326.52
2024-04-20,P1,Wireless Earbuds,277.26,70,Saturday,15,4.68,0.73,274.62
2024-07-20,P1,Wireless Earbuds,284.04,33,Saturday,15,4.41,0.54,256.83
2023-12-06,P1,Wireless Earbuds,279.47,43,Wednesday,15,4.24,0.4,256.8
2023-07-25,P1,Wireless Earbuds,323.67,5,Tuesday,0,3.97,0.32,333.42
2024-12-03,P1,Wireless Earbuds,322.61,5,Tuesday,5,4.84,0.91,348.98
2023-09-28,P1,Wireless Earbuds,267.63,29,Thursday,15,4.08,0.34,257.15
2023-07-07,P1,Wireless Earbuds,274.55,36,Friday,15,3.75,0.07,262.33
2024-06-04,P1,Wireless Earbuds,321.87,5,Tuesday,0,4.72,0.86,292.2
2024-05-04,P1,Wireless Earbuds,302.84,5,Saturday,5,4.43,0.59,324.62
2023-02-17,P1,Wireless Earbuds,271.61,87,Friday,20,4.83,0.88,279.87
2023-01-05,P1,Wireless Earbuds,306.44,5,Thursday,5,3.56,0.08,291.8
2024-07-07,P1,Wireless Earbuds,269.51,87,Sunday,15,4.45,0.6,241.39
2024-02-11,P1,Wireless Earbuds,265.92,112,Sunday,20,4.91,0.96,248.1
2023-08-31,P1,Wireless Earbuds,294.16,8,Thursday,15,4.45,0.71,312.65
2023-11-27,P1,Wireless Earbuds,303.02,8,Monday,5,4.86,0.86,294.4
2023-10-10,P1,Wireless Earbuds,340.45,5,Tuesday,0,3.51,0.01,362.09
2023-08-22,P1,Wireless Earbuds,273.59,16,Tuesday,15,3.83,0.23,253.69
2024-11-22,P1,Wireless Earbuds,317.85,5,Friday,0,3.87,0.29,303.09
2023-03-22,P1,Wireless Earbuds,301.1,5,Wednesday,10,3.58,0.01,301.26
2023-08-13,P1,Wireless Earbuds,323.09,5,Sunday,0,4.23,0.59,301.79
2023-07-22,P1,Wireless Earbuds,290.08,5,Saturday,10,4.21,0.57,308.27
2024-05-25,P1,Wireless Earbuds,320.43,5,Saturday,0,4.54,0.77,320.92
2023-12-12,P1,Wireless Earbuds,307.1,5,Tuesday,10,3.64,0.18,298.02
2024-10-01,P1,Wireless Earbuds,324.49,5,Tuesday,5,4.6,0.68,335.03
2023-09-20,P1,Wireless Earbuds,271.52,47,Wednesday,15,4.27,0.47,300.45
2023-10-31,P1,Wireless Earbuds,283.02,47,Tuesday,15,3.78,0.14,305.98
2024-02-08,P1,Wireless Earbuds,335.17,5,Thursday,0,3.74,0.24,310.21
2023-09-11,P1,Wireless Earbuds,293.98,7,Monday,10,4.96,0.93,320.39
2023-06-12,P1,Wireless Earbuds,256.45,29,Monday,20,3.86,0.2,269.18
2024-05-18,P1,Wireless Earbuds,302.54,5,Saturday,10,3.64,0.07,306.64
2023-02-07,P1,Wireless Earbuds,264.33,50,Tuesday,20,4.15,0.4,288.69
2024-08-31,P1,Wireless Earbuds,286.34,55,Saturday,15,3.85,0.23,308.19
2024-05-26,P1,Wireless Earbuds,345.74,5,Sunday,0,3.92,0.36,343.94
2023-02-06,P1,Wireless Earbuds,262.57,83,Monday,20,4.95,1.03,290.57
2023-06-10,P1,Wireless Earbuds,287.9,10,Saturday,10,4.9,0.98,291.31
2024-11-16,P1,Wireless Earbuds,317.81,5,Saturday,5,3.71,0.14,347.21
2024-01-28,P1,Wireless Earbuds,304.08,5,Sunday,10,3.94,0.28,307.25
2024-02-12,P1,Wireless Earbuds,252.17,89,Monday,20,4.44,0.57,222.48
2024-10-15,P1,Wireless Earbuds,292.87,24,Tuesday,15,4.37,0.57,264.52
2023-02-20,P1,Wireless Earbuds,320.56,5,Monday,0,4.76,0.91,349.47
2024-09-04,P1,Wireless Earbuds,340.74,5,Wednesday,0,4.95,0.96,327.03
